gameId,gameDateTimeEst,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,gameSubtype,gameLabel,gameSubLabel,seriesGameNumber,attendance,arenaId,arenaName,arenaCity,arenaState,officials,gameDate
62500033,2028-01-18 20:30:00,Philadelphia,76ers,1610612755,Minnesota,Timberwolves,1610612750,113,118,1610612750,Regular Season,,Regular Season,,,16085,1000152,Xfinity Mobile Arena,Philadelphia,PA,"John Goble, Tyler Ricks, Danielle Scott",2028-01-18 20:30:00
62500034,2028-05-12 22:30:00,San Diego,Clippers,1610612746,Boston,Celtics,1610612738,98,109,1610612738,Regular Season,,Regular Season,,,19333,1000137,Intuit Dome,Inglewood,CA,"Eric Lewis, Zach Zarba, Jason Goldenberg",2028-05-12 22:30:00
62500035,2027-11-29 19:00:00,Toronto,Raptors,1610612761,Philadelphia,Warriors,1610612744,125,104,1610612761,Regular Season,,Regular Season,,,17231,643,Scotiabank Arena,Toronto,ON,"Dedric Taylor, Brent Barnaky, Jacyn Goble",2027-11-29 19:00:00
62500036,2028-02-13 20:30:00,Milwaukee,Hawks,1610612737,Baltimore,Bullets,1610612764,95,97,1610612764,Regular Season,,Regular Season,,,17057,650,State Farm Arena,Atlanta,GA,"Brian Forte, John Conley, Jenna Reneau",2028-02-13 20:30:00
62500037,2027-10-02 20:00:00,Charlotte,Hornets,1610612766,Cleveland,Cavaliers,1610612739,124,98,1610612766,Regular Season,,Regular Season,,,17145,9,Spectrum Center,Charlotte,NC,"J.T. Orr, Eric Lewis, Jenna Reneau",2027-10-02 20:00:00
62500038,2027-11-27 19:00:00,,Team T-Mac,1610616864,Minneapolis,Lakers,1610612747,106,99,1610616864,Regular Season,,Regular Season,,,19469,1000137,Intuit Dome,Inglewood,CA,"Danielle Scott, Scott Twardoski, Eric Lewis",2027-11-27 19:00:00
62500039,2027-12-05 19:30:00,Orlando,Magic,1610612753,Indiana,Pacers,1610612754,100,98,1610612753,Regular Season,,Regular Season,,,17987,1000125,Kia Center,Orlando,FL,"Eric Dalen, Brent Barnaky, Tyler Ricks",2027-12-05 19:30:00
62500040,2028-03-30 22:30:00,Seattle,SuperSonics,1610612760,Philadelphia,76ers,1610612755,103,108,1610612755,Regular Season,,Regular Season,,,16266,72,,,,"Tyler Ford, Leon Wood, Tre Maddox",2028-03-30 22:30:00
62500041,2028-04-28 22:00:00,Oklahoma City,Thunder,1610612760,San Diego,Rockets,1610612745,92,122,1610612745,Playoffs,,West Conf. Finals,West Conf. Finals,Game 3,17185,1000052,Paycom Center,Oklahoma City,OK,"Jason Goldenberg, Ashley Moyer-Gleich, Nate Cearley",2028-04-28 22:00:00
62500042,2028-01-11 22:30:00,,Stripes,1610616860,Portland,Trail Blazers,1610612757,80,102,1610612757,Regular Season,,Regular Season,,,17864,1000137,Intuit Dome,Inglewood,CA,"Mark Lindsay, JD Ralls, Kevin Cutler",2028-01-11 22:30:00
62500043,2028-04-22 20:30:00,Seattle,SuperSonics,1610612760,Denver,Nuggets,1610612743,107,96,1610612760,Regular Season,,Regular Season,,,15568,72,,,,"Brett Nansel, Sean Wright, Marat Kogut",2028-04-22 20:30:00
62500044,2028-03-18 19:00:00,Baltimore,Bullets,1610612764,,Team Vince,1610616863,103,106,1610616863,Regular Season,,Regular Season,,,17139,74,,,,"Scott Twardoski, Klajdi Mulla, Nate Cearley",2028-03-18 19:00:00
62500045,2028-05-10 20:30:00,Philadelphia,76ers,1610612755,South East Melbourne,Phoenix,50013,110,102,1610612755,Regular Season,,Regular Season,,,18574,1000152,Xfinity Mobile Arena,Philadelphia,PA,"Tony Brothers, Ben Taylor, Natalie Sago",2028-05-10 20:30:00
62500046,2028-05-11 19:00:00,Philadelphia,Warriors,1610612744,Cleveland,Cavaliers,1610612739,122,112,1610612744,Regular Season,,Regular Season,,,17983,1000011,Chase Center,San Francisco,CA,"John Goble, Gina Catanzariti, Bill Kennedy, Phenizee Ransom",2028-05-11 19:00:00
62500047,2028-03-02 20:30:00,Seattle,SuperSonics,1610612760,New York,Knicks,1610612752,94,121,1610612752,Regular Season,,Regular Season,,,18345,72,,,,"Marat Kogut, Kevin Scott, Eric Lewis",2028-03-02 20:30:00
62500048,2028-05-03 21:30:00,Toronto,Raptors,1610612761,Denver,Nuggets,1610612743,114,133,1610612743,Regular Season,,Regular Season,,,16425,643,Scotiabank Arena,Toronto,ON,"Marat Kogut, Eric Lewis, Ed Malloy",2028-05-03 21:30:00
62500049,2028-01-16 20:30:00,Miami,Heat,1610612748,San Diego,Clippers,1610612746,98,115,1610612746,Regular Season,,Regular Season,,,18809,1000100,Kaseya Center,Miami,FL,"J.T. Orr, David Guthrie, Sean Wright, Josh Tiven",2028-01-16 20:30:00
62500050,2027-11-13 20:30:00,Chicago,Zephyrs,1610612764,Boston,Celtics,1610612738,107,95,1610612764,Regular Season,,Regular Season,,,15765,0,,,,"James Capers, JD Ralls, Pat Fraher",2027-11-13 20:30:00
62500051,2027-10-24 19:30:00,Orlando,Magic,1610612753,Oklahoma City,Thunder,1610612760,106,97,1610612753,Regular Season,,Regular Season,,,15596,1000125,Kia Center,Orlando,FL,"Aaron Smith, Ray Acosta, Ben Taylor, Natalie Sago",2027-10-24 19:30:00
62500052,2028-04-14 20:30:00,Rochester,Royals,1610612758,Buffalo,Braves,1610612746,90,109,1610612746,Regular Season,,Regular Season,,,16998,0,,,,"Ed Malloy, Jason Goldenberg, Jenna Reneau",2028-04-14 20:30:00
62500053,2028-05-25 19:00:00,Portland,Trail Blazers,1610612757,San Diego,Rockets,1610612745,114,100,1610612757,Regular Season,,Regular Season,,,15994,51,Moda Center,Portland,OR,"Brent Haskill, Marc Davis, Suyash Mehta, Dannica Baroody",2028-05-25 19:00:00
62500054,2028-06-15 20:30:00,South East Melbourne,Phoenix,50013,Dallas,Mavericks,1610612742,94,97,1610612742,Playoffs,,NBA Finals,NBA Finals,Game 4,16303,,South East Melbourne Arena,South East Melbourne,,"CJ Washington, Klajdi Mulla, Tyler Ricks, John Conley",2028-06-15 20:30:00
62500055,2028-06-05 21:00:00,Charlotte,Hornets,1610612766,Tri-Cities,Blackhawks,1610612737,100,110,1610612737,Regular Season,,Regular Season,,,17249,9,Spectrum Center,Charlotte,NC,"John Butler, Nick Buchert, Che Flores, Biniam Maru",2028-06-05 21:00:00
62500056,2027-11-11 19:00:00,Chicago,Bulls,1610612741,Dallas,Mavericks,1610612742,109,120,1610612742,Regular Season,,Regular Season,,,16894,66,United Center,Chicago,IL,"Sean Corbin, David Guthrie, John Goble, Aaron Smith",2027-11-11 19:00:00
62500057,2028-05-26 20:00:00,Washington,Wizards,1610612764,Chicago,Bulls,1610612741,101,99,1610612764,Regular Season,,Regular Season,,,16694,77,Capital One Arena,Washington,DC,"Tony Brothers, Scott Twardoski, Matt Myers, Ben Taylor",2028-05-26 20:00:00
62500058,2027-10-04 20:30:00,New Orleans,Jazz,1610612762,,Stripes,1610616860,109,113,1610616860,Regular Season,,Regular Season,,,18194,1000106,Delta Center,Salt Lake City,UT,"Andy Nagy, Chelisa Painter, Dedric Taylor, JD Ralls",2027-10-04 20:30:00
62500059,2028-02-17 20:30:00,,Stars,1610616859,Portland,Trail Blazers,1610612757,124,90,1610616859,Regular Season,,Regular Season,,,15237,1000137,Intuit Dome,Inglewood,CA,"Jacyn Goble, Marat Kogut, Rodney Mott, Marc Davis",2028-02-17 20:30:00
62500060,2027-10-14 20:00:00,Toronto,Raptors,1610612761,Hapoel,Jerusalem B.C.,50014,109,107,1610612761,Regular Season,,Regular Season,,,15687,643,Scotiabank Arena,Toronto,ON,"Brent Haskill, Marc Davis, Jonathan Sterling, Sha'Rae Mitchell",2027-10-14 20:00:00
62500061,2028-03-16 19:30:00,Philadelphia,Warriors,1610612744,New Orleans,Jazz,1610612762,109,114,1610612762,Regular Season,,Regular Season,,,17677,1000011,Chase Center,San Francisco,CA,"Ashley Moyer-Gleich, Brandon Schwab, Aaron Smith",2028-03-16 19:30:00
62500062,2028-05-28 19:00:00,Philadelphia,Warriors,1610612744,San Antonio,Spurs,1610612759,110,92,1610612744,Regular Season,,Regular Season,,,17866,1000011,Chase Center,San Francisco,CA,"John Goble, Pat O'Connell, Kevin Cutler",2028-05-28 19:00:00
62500063,2027-10-11 20:00:00,Phoenix,Suns,1610612756,Denver,Nuggets,1610612743,108,85,1610612756,Regular Season,,Regular Season,,,16954,1000159,Mortgage Matchup Center,Phoenix,AZ,"Josh Tiven, James Williams, Curtis Blair",2027-10-11 20:00:00
62500064,2028-02-09 22:30:00,Milwaukee,Hawks,1610612737,New York,Nets,1610612751,88,111,1610612751,Regular Season,,Regular Season,,,16374,650,State Farm Arena,Atlanta,GA,"Tyler Ford, James Capers, Jason Goldenberg",2028-02-09 22:30:00
62500065,2028-03-08 20:30:00,Guangzhou,Loong-Lions,15018,Oklahoma City,Thunder,1610612760,95,86,15018,Regular Season,,Regular Season,,,18249,,Guangzhou Arena,Guangzhou,,"John Butler, Mitchell Ervin, Ray Acosta",2028-03-08 20:30:00
62500066,2028-03-03 22:00:00,Phoenix,Suns,1610612756,Philadelphia,76ers,1610612755,119,108,1610612756,Regular Season,,Regular Season,,,19636,1000159,Mortgage Matchup Center,Phoenix,AZ,"Brett Nansel, Andy Nagy, Jenna Reneau",2028-03-03 22:00:00
62500067,2027-11-05 20:30:00,Seattle,SuperSonics,1610612760,New Orleans,Pelicans,1610612740,93,104,1610612740,Regular Season,,Regular Season,,,15103,72,,,,"Simone Jelks, Jason Goldenberg, Michael Smith, Jenna Schroeder",2027-11-05 20:30:00
62500068,2027-12-18 20:00:00,Melbourne,United,15016,New York,Nets,1610612751,93,91,15016,Preseason,,Regular Season,,,19274,,Melbourne Arena,Melbourne,,"Marcy Williams, Andy Nagy, Intae Hwang",2027-12-18 20:00:00
62500069,2028-02-15 20:00:00,New York,Nets,1610612751,Indiana,Pacers,1610612754,118,99,1610612751,Regular Season,,Regular Season,,,15709,461,Barclays Center,Brooklyn,NY,"CJ Washington, Tyler Ricks, Marc Davis",2028-02-15 20:00:00
62500070,2028-04-12 20:00:00,,Team Austin,1610616865,Hapoel,Jerusalem B.C.,50014,106,122,50014,Regular Season,,Regular Season,,,19049,,nan Arena,,,"Jonathan Sterling, Simone Jelks, David Guthrie",2028-04-12 20:00:00
62500071,2028-03-23 20:30:00,Vancouver,Grizzlies,1610612763,Philadelphia,Warriors,1610612744,85,102,1610612744,Regular Season,,Regular Season,,,19553,242,FedExForum,Memphis,TN,"Justin Van Duyne, Natalie Sago, Brandon Adair",2028-03-23 20:30:00
62500072,2028-02-01 21:30:00,Phoenix,Suns,1610612756,Syracuse,Nationals,1610612755,90,109,1610612755,Playoffs,,West Conf. Semifinals,West Conf. Semifinals,Game 4,19020,1000159,Mortgage Matchup Center,Phoenix,AZ,"Matt Myers, Brian Forte, Kevin Scott, JD Ralls",2028-02-01 21:30:00
62500073,2028-04-06 20:30:00,Kansas City-Omaha,Kings,1610612758,Buffalo,Braves,1610612746,104,112,1610612746,Playoffs,,West First Round,West First Round,Game 3,18485,609,Golden 1 Center,Sacramento,CA,"Eric Dalen, Derrick Collins, Biniam Maru",2028-04-06 20:30:00
62500074,2028-01-27 19:00:00,Miami,Heat,1610612748,Philadelphia,Warriors,1610612744,93,81,1610612748,Regular Season,,Regular Season,,,17584,1000100,Kaseya Center,Miami,FL,"Andy Nagy, Jonathan Sterling, Natalie Sago",2028-01-27 19:00:00
62500075,2028-06-04 20:30:00,Milwaukee,Hawks,1610612737,Chicago,Zephyrs,1610612764,92,95,1610612764,Regular Season,,Regular Season,,,15823,650,State Farm Arena,Atlanta,GA,"Kevin Scott, Mark Lindsay, Jenna Schroeder",2028-06-04 20:30:00
62500076,2027-10-08 21:00:00,San Diego,Rockets,1610612745,Miami,Heat,1610612748,108,107,1610612745,Regular Season,,Regular Season,,,17247,215,Toyota Center,Houston,TX,"Sha'Rae Mitchell, Eric Lewis, Kevin Scott",2027-10-08 21:00:00
62500077,2028-06-08 19:00:00,Buffalo,Braves,1610612746,Toronto,Raptors,1610612761,109,91,1610612746,Preseason,,Regular Season,,,19702,100,,,,"Josh Tiven, Intae Hwang, J.T. Orr",2028-06-08 19:00:00
62500078,2027-10-27 20:30:00,Chicago,Bulls,1610612741,San Diego,Rockets,1610612745,106,86,1610612741,Regular Season,,Regular Season,,,15934,66,United Center,Chicago,IL,"Marat Kogut, Simone Jelks, John Butler",2027-10-27 20:30:00
62500079,2027-10-28 19:00:00,,Team Austin,1610616865,Melbourne,United,15016,118,117,1610616865,Regular Season,,Regular Season,,,19610,,nan Arena,,,"Brandon Adair, Tyler Ricks, Robert Hussey",2027-10-28 19:00:00
62500080,2028-05-01 20:00:00,,Team T-Mac,1610616864,Chicago,Packers,1610612764,86,89,1610612764,Regular Season,,Regular Season,,,19280,1000137,Intuit Dome,Inglewood,CA,"CJ Washington, J.T. Orr, Zach Zarba, Mitchell Ervin",2028-05-01 20:00:00
62500081,2027-10-31 20:00:00,Indiana,Pacers,1610612754,Miami,Heat,1610612748,110,106,1610612754,Playoffs,,East Conf. Finals,East Conf. Finals,Game 5,16702,1000063,Gainbridge Fieldhouse,Indianapolis,IN,"Klajdi Mulla, Brandon Adair, Tyler Ford",2027-10-31 20:00:00
62500082,2027-11-08 19:00:00,Phoenix,Suns,1610612756,San Diego,Rockets,1610612745,113,150,1610612745,Regular Season,,Regular Season,,,18346,1000159,Mortgage Matchup Center,Phoenix,AZ,"JB DeRosa, Josh Tiven, Kevin Scott, Nate Cearley",2027-11-08 19:00:00
62500083,2028-02-22 21:30:00,Portland,Trail Blazers,1610612757,San Diego,Clippers,1610612746,125,116,1610612757,Regular Season,,Regular Season,,,15583,51,Moda Center,Portland,OR,"Klajdi Mulla, Ray Acosta, Mitchell Ervin",2028-02-22 21:30:00
62500084,2028-05-05 19:00:00,Seattle,SuperSonics,1610612760,Denver,Nuggets,1610612743,101,113,1610612743,Regular Season,,Regular Season,,,16220,72,,,,"Courtney Kirkland, John Butler, Matt Kallio",2028-05-05 19:00:00
62500085,2028-02-25 20:00:00,Boston,Celtics,1610612738,Miami,Heat,1610612748,108,90,1610612738,Regular Season,,Regular Season,,,18839,17,TD Garden,Boston,MA,"Marat Kogut, Biniam Maru, Scott Foster",2028-02-25 20:00:00
62500086,2028-05-12 19:00:00,,Team Vince,1610616863,,Stars,1610616859,139,80,1610616863,Regular Season,,Regular Season,,,18539,,nan Arena,,,"Dedric Taylor, Nate Green, Kevin Cutler",2028-05-12 19:00:00
62500087,2027-10-11 22:30:00,San Antonio,Spurs,1610612759,Portland,Trail Blazers,1610612757,100,103,1610612757,Regular Season,,Regular Season,,,19720,1000118,Frost Bank Center,San Antonio,TX,"Leon Wood, Josh Tiven, Justin Van Duyne",2027-10-11 22:30:00
62500088,2028-02-20 19:30:00,Charlotte,Bobcats,1610612766,Milwaukee,Bucks,1610612749,99,117,1610612749,Regular Season,,Regular Season,,,19028,9,,,,"Josh Tiven, Brett Nansel, Tre Maddox",2028-02-20 19:30:00
62500089,2027-11-23 22:00:00,Chicago,Bulls,1610612741,Dallas,Mavericks,1610612742,128,104,1610612741,Regular Season,,Regular Season,,,17701,66,United Center,Chicago,IL,"Agon Abazi, Nick Buchert, Marat Kogut, Eric Lewis",2027-11-23 22:00:00
62500090,2027-11-15 20:30:00,Cleveland,Cavaliers,1610612739,New York,Nets,1610612751,95,105,1610612751,Regular Season,,Regular Season,,,17648,1000144,Rocket Arena,Cleveland,OH,"Marat Kogut, Sean Wright, Ed Malloy",2027-11-15 20:30:00
62500091,2028-05-24 20:00:00,Seattle,SuperSonics,1610612760,,Team Vince,1610616863,140,128,1610612760,Regular Season,,Regular Season,,,16536,72,,,,"Bill Kennedy, Agon Abazi, Ray Acosta",2028-05-24 20:00:00
62500092,2027-10-27 19:30:00,Milwaukee,Bucks,1610612749,Chicago,Packers,1610612764,80,105,1610612764,Regular Season,,Regular Season,,,19499,642,Fiserv Forum,Milwaukee,WI,"Nick Buchert, J.T. Orr, Simone Jelks",2027-10-27 19:30:00
62500093,2028-01-31 21:00:00,New York,Knicks,1610612752,Oklahoma City,Thunder,1610612760,99,80,1610612752,Regular Season,,Regular Season,,,17545,30,Madison Square Garden,New York,NY,"Eric Lewis, Tre Maddox, Brian Forte",2028-01-31 21:00:00
62500094,2028-05-24 19:00:00,Portland,Trail Blazers,1610612757,New York,Knicks,1610612752,113,114,1610612752,Regular Season,,Regular Season,,,19082,51,Moda Center,Portland,OR,"Sean Wright, Biniam Maru, Aaron Smith",2028-05-24 19:00:00
62500095,2028-05-21 20:00:00,,Stripes,1610616860,Phoenix,Suns,1610612756,101,98,1610616860,Regular Season,,Regular Season,,,18142,1000137,Intuit Dome,Inglewood,CA,"JB DeRosa, Sean Wright, Brent Haskill",2028-05-21 20:00:00
62500096,2028-04-30 20:30:00,Minnesota,Timberwolves,1610612750,Charlotte,Hornets,1610612766,131,108,1610612750,Regular Season,,Regular Season,,,15021,61,Target Center,Minneapolis,MN,"Zach Zarba, Mitchell Ervin, Scott Twardoski",2028-04-30 20:30:00
62500097,2027-12-16 20:30:00,Seattle,SuperSonics,1610612760,,Stars,1610616859,111,125,1610616859,Regular Season,,Regular Season,,,17827,72,,,,"Eric Lewis, Chelisa Painter, Ashley Moyer-Gleich",2027-12-16 20:30:00
62500098,2028-01-05 21:00:00,New York,Nets,1610612751,Dallas,Mavericks,1610612742,84,95,1610612742,Regular Season,,Regular Season,,,19684,461,Barclays Center,Brooklyn,NY,"Mark Lindsay, Tre Maddox, Pat O'Connell, Phenizee Ransom",2028-01-05 21:00:00
62500099,2028-04-13 20:00:00,Chicago,Zephyrs,1610612764,,Stripes,1610616860,102,128,1610616860,Regular Season,,Regular Season,,,19057,0,,,,"Mousa Dagher, Scott Foster, Mitchell Ervin",2028-04-13 20:00:00
62500100,2028-05-13 19:30:00,Chicago,Bulls,1610612741,Philadelphia,76ers,1610612755,80,88,1610612755,Regular Season,,Regular Season,,,15125,66,United Center,Chicago,IL,"Tre Maddox, Sean Corbin, John Butler",2028-05-13 19:30:00
62500101,2028-03-22 20:30:00,,Stripes,1610616860,Philadelphia,Warriors,1610612744,80,84,1610612744,Regular Season,,Regular Season,,,15657,1000137,Intuit Dome,Inglewood,CA,"Andy Nagy, Ashley Moyer-Gleich, Phenizee Ransom",2028-03-22 20:30:00
62500102,2028-06-06 22:00:00,Melbourne,United,15016,Rochester,Royals,1610612758,99,104,1610612758,Regular Season,,Regular Season,,,15560,,Melbourne Arena,Melbourne,,"Ray Acosta, Nick Buchert, Mark Lindsay",2028-06-06 22:00:00
62500103,2028-05-10 19:00:00,Chicago,Zephyrs,1610612764,San Antonio,Spurs,1610612759,106,135,1610612759,Regular Season,,Regular Season,,,18634,0,,,,"Zach Zarba, Kevin Cutler, Pat O'Connell",2028-05-10 19:00:00
62500104,2028-02-28 20:30:00,Dallas,Mavericks,1610612742,Ft. Wayne Zollner,Pistons,1610612765,91,108,1610612765,Regular Season,,Regular Season,,,18528,193,American Airlines Center,Dallas,TX,"Tyler Ricks, Suyash Mehta, Tre Maddox",2028-02-28 20:30:00
